,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,366,2019-01-01T00:00:00,2020-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/1deg_jra55_iaf,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/output366,6.496,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/restart366,1.527,hakase hayashida,2024-03-28T17:39:05,112010872,2,"[111993450, 111998538]",normal,254.56,0.4419444444444444,254.73435616438357,0.44224714611872146,,,,288.179999999702,288,216,24,0.019,33.987456,902.57,85.78,"[16, 15]",cartesian,15,300,5400,80,1,8c448fbf35dc7ef08641f40605d44e7ef98b849f,2024-03-28 16:41:37 +1100,,,12824640
,367,2020-01-01T00:00:00,2021-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/scratch/v45/hh0162/1deg_jra55_iaf,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/output367,6.497,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/restart367,1.527,hakase hayashida,2024-03-28T18:39:49,112017348,0,[],normal,259.84,0.45111111111111113,259.30754098360654,0.4501867030965392,0.561111111111111,6160.860592755214,23.758894821900704,255.20000000018626,288,216,24,0.023,40.863054,901.45,92.29,"[16, 15]",cartesian,15,300,5400,80,1,a01ba4b2b35316c79910b4cf003145d3f8814c30,2024-03-28 17:56:35 +1100,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml",['switch to v1.5.0.1 for OSNAP 2020-2022.'],12859680
,368,2021-01-01T00:00:00,2022-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/1deg_jra55_iaf,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/output368,6.495,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/restart368,1.527,hakase hayashida,2024-03-28T19:18:12,112020365,0,[],normal,254.24,0.4413888888888889,254.41413698630137,0.4416912100456621,0.1983333333333333,9538.13981762918,37.490604612678226,258.4900000002235,288,216,24,0.02,35.513466,891.63,85.85,"[16, 15]",cartesian,15,300,5400,80,1,425e780ca644b70328de593c8c4c1fd636826c46,2024-03-28 18:52:00 +1100,"manifests/restart.yaml, metadata.yaml",['2024-03-28 18:52:00: Run 368'],12894720
,369,2022-01-01T00:00:00,2023-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/1deg_jra55_iaf,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/output369,6.492,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/restart369,2.503,hakase hayashida,2024-03-28T19:50:58,112023184,0,[],normal,253.28,0.43972222222222224,253.4534794520548,0.44002340182648403,0.10638888888888887,11130.921668362158,43.917020561036594,255.80999999959022,288,216,24,0.018,31.7632,900.29,82.57,"[16, 15]",cartesian,15,300,5400,80,1,66d983ff4cd311b8f79dc1a9c1252270746af8e8,2024-03-28 19:24:42 +1100,manifests/restart.yaml,['2024-03-28 19:24:41: Run 369'],12929760
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
Total,1470,,,,1461.0,,,25.98,,7.084,,,448071769,2,,,1021.92,1.7741666666666664,1021.9095135863463,1.7741484610874068,0.8658333333333332,26829.922078746553,105.16651999561552,1057.679999999702,1152,864,96,0.08,142.12717600000002,3595.94,346.48999999999995,,,60,1200,21600,320,4,,,,,51508800
Mean,367.5,,,0.25,365.25,,,6.495,,1.771,,,112017942.25,0.5,[27998362.5 27999634.5],,255.48,0.4435416666666666,255.47737839658657,0.4435371152718517,0.2886111111111111,8943.307359582184,35.05550666520517,264.4199999999255,288.0,216.0,24.0,0.02,35.531794000000005,898.985,86.62249999999999,15.5,,15.0,300.0,5400.0,80.0,1.0,,,,,12877200.0
Median,367.5,,,0.0,365.0,,,6.4955,,1.527,,,112018856.5,0.0,[],,254.4,0.44166666666666665,254.57424657534247,0.44196917808219177,0.1983333333333333,9538.13981762918,37.490604612678226,257.14999999990687,288.0,216.0,24.0,0.0195,34.750461,900.87,85.815,15.5,,15.0,300.0,5400.0,80.0,1.0,,,,,12877200.0
Min,366,2019-01-01T00:00:00,2020-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/1deg_jra55_iaf,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/output366,6.492,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf/restart366,1.527,hakase hayashida,2024-03-28T17:39:05,112010872,0,[],normal,253.28,0.43972222222222224,253.4534794520548,0.44002340182648403,0.10638888888888887,6160.860592755214,23.758894821900704,255.20000000018626,288,216,24,0.018,31.7632,891.63,82.57,"[16, 15]",cartesian,15,300,5400,80,1,425e780ca644b70328de593c8c4c1fd636826c46,2024-03-28 16:41:37 +1100,,['2024-03-28 18:52:00: Run 368'],12824640
