"Summary report generated by run_summary.py, https://github.com/aekiss/run_summary"
report generated:,2021-12-10T09:05:02+11:00
control directory path:,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,git branch:,omip2
output path:,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
,306,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output306,0.0,,,hakase hayashida,2021-07-01T04:31:06,24760927,3,"[24688963, 24691127, 24696591]",normal,2207.52,3.8325,2209.032,3.835125,,,,219.36000000033528,288,216,24,0.011,22.009435,891.45,74.53,"[16, 15]",cartesian,15,300,5400,80,1,24ddabfe4e449a3ebb8de35c2cac14e9bf4ebced,2021-07-01 00:41:42 +1000,,,10722240
,307,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output307,0.0,,,hakase hayashida,2021-07-01T07:36:18,24822163,0,[],normal,224.0,0.3888888888888889,223.54098360655738,0.388091985428051,2.6977777777777776,1741.684665226782,7.791343838283492,162.50999999977648,288,216,24,0.012,22.543086,902.59,75.85,"[16, 15]",cartesian,15,300,5400,80,1,aafee64d8e839d786a53e0514251c26e17a47ece,2021-07-01 07:13:23 +1000,"accessom2.nml, config.yaml, manifests/restart.yaml",['2021-07-01 07:13:23: Run 307'],10757280
,308,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output308,0.0,,,hakase hayashida,2021-07-01T22:42:33,24822192,0,[],normal,2230.88,3.8730555555555557,2232.408,3.8757083333333333,11.23111111111111,3544.791393103448,1.5878779296183532,222.6699999999255,288,216,24,0.014,25.961124,898.82,75.56,"[16, 15]",cartesian,15,300,5400,80,1,2f71b84aabca92a9a09e877fe1e595fe0fe779e5,2021-07-01 18:50:51 +1000,"accessom2.nml, config.yaml, manifests/restart.yaml",['2021-07-01 18:50:51: Run 308'],10792320
,309,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output309,0.0,,,hakase hayashida,2021-07-02T02:38:54,24832139,0,[],normal,2210.56,3.8377777777777777,2212.0740821917807,3.8404063926940637,0.10138888888888875,13468.188703194415,6.088488993935403,216.69000000040978,288,216,24,0.009,17.59744,897.12,70.56,"[16, 15]",cartesian,15,300,5400,80,1,7fb71c65cd2e0ca389b7c7841b5754a297b29199,2021-07-01 22:49:04 +1000,manifests/restart.yaml,['2021-07-01 22:49:03: Run 309'],10827360
,310,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output310,0.0,,,hakase hayashida,2021-07-02T06:29:00,24837101,0,[],normal,2206.24,3.830277777777778,2207.751123287671,3.8329012557077626,0.004722222222222072,13806.9778357236,6.253865161741123,211.98000000044703,288,216,24,0.009,18.220336,893.67,70.7,"[16, 15]",cartesian,15,300,5400,80,1,391e8d6f14d715b413593e67bd203acbbc9946f5,2021-07-02 02:39:34 +1000,manifests/restart.yaml,['2021-07-02 02:39:34: Run 310'],10862400
,311,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output311,0.0,,,hakase hayashida,2021-07-02T10:21:14,24838300,0,[],normal,2226.88,3.866111111111111,2222.3167213114757,3.858188752276867,0.004444444444444695,13808.126309745945,6.213392617411092,217.4199999999255,288,216,24,0.01,18.953949,895.1,71.46,"[16, 15]",cartesian,15,300,5400,80,1,f02e35edc86339401499c311a3fb083097c22333,2021-07-02 06:29:39 +1000,manifests/restart.yaml,['2021-07-02 06:29:39: Run 311'],10897440
,312,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output312,0.0,,,hakase hayashida,2021-07-03T13:30:29,24904804,2,"[24843613, 24856132]",normal,2065.92,3.5866666666666664,2067.33501369863,3.5891232876712325,23.5675,1825.94739911002,0.8832373016520685,224.19000000040978,288,216,24,0.01,18.912513,890.0,71.63,"[16, 15]",cartesian,15,300,5400,80,1,e74f94a82907d65b5fac5f00bbcd20796b950ba7,2021-07-03 09:55:43 +1000,"accessom2.nml, manifests/restart.yaml","['2021-07-02 10:21:49: Run 312', '2021-07-03 09:55:43: Run 312']",10932480
,313,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output313,0.0,,,hakase hayashida,2021-07-03T22:37:52,24926631,0,[],normal,28.32,0.049166666666666664,28.339397260273973,0.04920034246575342,9.07388888888889,74.50135493103552,2.6288969467770285,141.61000000033528,288,216,24,0.009,17.830867,899.06,70.95,"[16, 15]",cartesian,15,300,5400,80,1,c27ec4a1c81b580321b3331e085b0dabfb487963,2021-07-03 22:35:36 +1000,"accessom2.nml, config.yaml, manifests/restart.yaml, metadata.yaml, ocean/diag_table",['2021-07-03 22:35:36: Run 313'],10967520
,314,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output314,0.0,,,hakase hayashida,2021-07-03T23:21:28,24928411,0,[],normal,24.32,0.042222222222222223,24.336657534246577,0.04225114155251142,0.6844444444444444,803.2293577981651,33.00491682836313,144.94000000040978,288,216,24,0.012,22.28778,893.29,74.88,"[16, 15]",cartesian,15,300,5400,80,1,e43fff3213bab55ce29338f8e7233647b140e5ca,2021-07-03 23:19:12 +1000,"manifests/restart.yaml, ocean/field_table",['2021-07-03 23:19:12: Run 314'],11002560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0
Total,2790,,,,3287.0,,,0.0,0,0,,,223672668,5,,,13424.639999999998,23.306666666666665,13427.133978890635,23.310996491129576,47.36527777777778,49073.44701883341,64.45201961778169,1761.3700000019744,2592,1944,216,0.09599999999999999,184.31653,8061.099999999999,656.12,,,135,2700,48600,720,9,,,,,97761600
Mean,310.0,,,0.25,365.22222222222223,,,0.0,nan,nan,,,24852518.666666668,0.5555555555555556,"[2743218.11111111 2743458.55555556 2744065.66666667 2760401.44444444
 2761792.44444444]",,1491.6266666666668,2.5896296296296293,1491.9037754322928,2.5901107212366195,5.920659722222222,6134.180877354176,8.05650245222271,195.70777777799717,288.0,216.0,24.0,0.010666666666666665,20.479614444444444,895.6777777777777,72.90222222222222,15.5,,15.0,300.0,5400.0,80.0,1.0,,,,,10862400.0
Median,310.0,,,0.0,365.0,,,0.0,nan,nan,,,24837101.0,0.0,[],,2206.24,3.830277777777778,2207.751123287671,3.8329012557077626,1.691111111111111,2685.369396106734,6.1509408056732475,216.69000000040978,288.0,216.0,24.0,0.01,18.953949,895.1,71.63,15.5,,15.0,300.0,5400.0,80.0,1.0,,,,,10862400.0
Min,306,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output306,0.0,,,hakase hayashida,2021-07-01T04:31:06,24760927,0,[],normal,24.32,0.042222222222222223,24.336657534246577,0.04225114155251142,0.004444444444444695,74.50135493103552,0.8832373016520685,141.61000000033528,288,216,24,0.009,17.59744,890.0,70.56,"[16, 15]",cartesian,15,300,5400,80,1,24ddabfe4e449a3ebb8de35c2cac14e9bf4ebced,2021-07-01 00:41:42 +1000,,['2021-07-01 07:13:23: Run 307'],10722240
Max,314,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/scratch/v45/hh0162/access-om2/control/1deg_jra55_iaf_omip2-fixed,/scratch/v45/hh0162/access-om2/archive/1deg_jra55_iaf_omip2-fixed/output314,0.0,,,hakase hayashida,2021-07-03T23:21:28,24928411,3,"[24843613, 24856132]",normal,2230.88,3.8730555555555557,2232.408,3.8757083333333333,23.5675,13808.126309745945,33.00491682836313,224.19000000040978,288,216,24,0.014,25.961124,902.59,75.85,"[16, 15]",cartesian,15,300,5400,80,1,f02e35edc86339401499c311a3fb083097c22333,2021-07-03 23:19:12 +1000,"manifests/restart.yaml, ocean/field_table",['2021-07-03 23:19:12: Run 314'],11002560
Std dev,2.581988897471611,,,0.4330127018922193,0.41573970964154905,,,0.0,nan,nan,,,52779.891631820035,1.0657403385139377,,,992.0841713394193,1.722368353019825,992.350989709797,1.7228315793572866,7.8360024177855685,5929.24446124116,9.719639002220866,33.132922122794035,0.0,0.0,0.0,0.0016329931618554523,2.6900076229647096,3.820261124809197,2.1123961001551326,0.5,,0.0,0.0,0.0,0.0,0.0,,,,,90472.89096740526
SU correlation,-0.41786499981611325,,,,-0.14341803078626578,,,nan,,,,,-0.5844180769856429,0.3464016120970426,,,1.0,1.0,0.9999982561765539,0.9999982561765539,,,,0.9857988081263498,nan,nan,nan,-0.12120214523291496,-0.08134716700619479,-0.4396026852760859,-0.3022398911707898,,,nan,nan,nan,nan,nan,,,,,-0.41786499981611325
SU slope,-160.55733333333612,,,,-342.24000000010903,,,,,,,,-0.010985091209859759,322.4608695652172,,,1.0,576.0000000000001,0.9997293816474209,575.8441238289143,,,,29.51732992468533,2.5896296296296297,3.4528395061728396,31.075555555555557,-73633.33333333323,-30.00111824263388,-114.16048576064058,-141.94658471291186,,,49.720888888888894,2.4860444444444445,0.1381135802469136,9.322666666666667,745.8133333333334,,,,,-0.004582115677321236
Dimensionless SU slope,-33.368117133867855,,,,-83.7968750000267,,,,,,,,-183.02648407202577,0.12010037869366225,,,1.0,1.0,0.9999151075942005,0.9999151075942004,,,,3.872799524568352,0.5,0.5,0.5,-0.5265541571319594,-0.41190691225999165,-68.55000147230017,-6.937541204966072,,,0.5,0.5,0.5,0.49999999999999994,0.5,,,,,-33.36811713386785
